tanggal,curah_hujan_mm,jam_hujan,hari_hujan,suhu_mean_c,suhu_max_c,suhu_min_c,kelembapan_mean_pct,angin_max_kmh
2020-01-01,26.8,24.0,1,25.6,27.6,24.5,92,13.2
2020-01-02,5.9,13.0,1,26.7,29.7,24.3,84,18.5
2020-01-03,2.3,8.0,1,27.7,31.6,25.2,79,19.2
2020-01-04,3.2,14.0,1,27.0,29.6,25.0,83,25.3
2020-01-05,14.6,8.0,1,27.4,30.2,25.7,82,17.3
2020-01-06,15.7,13.0,1,26.7,30.7,24.8,85,18.4
2020-01-07,6.5,16.0,1,26.4,30.6,24.6,87,18.4
2020-01-08,13.7,15.0,1,25.9,29.5,24.3,88,15.1
2020-01-09,7.8,11.0,1,26.8,31.1,24.0,85,13.7
2020-01-10,9.9,12.0,1,26.7,30.8,24.7,86,15.0
2020-01-11,26.0,11.0,1,26.6,30.9,24.9,86,15.3
2020-01-12,1.1,3.0,1,27.9,31.8,24.8,78,18.0
2020-01-13,1.6,9.0,1,27.9,31.9,24.9,78,19.2
2020-01-14,3.7,13.0,1,27.5,31.1,24.9,84,17.8
2020-01-15,3.7,15.0,1,27.6,31.3,25.2,85,7.0
2020-01-16,1.4,7.0,1,27.8,31.6,25.0,83,9.7
2020-01-17,1.2,4.0,1,28.5,32.5,24.6,77,9.2
2020-01-18,5.5,13.0,1,28.4,32.3,25.1,78,9.6
2020-01-19,5.0,14.0,1,27.9,32.2,25.1,82,10.0
2020-01-20,25.3,15.0,1,27.2,31.7,24.5,86,10.8
2020-01-21,13.3,18.0,1,26.7,31.0,24.2,87,10.7
2020-01-22,0.4,4.0,1,27.8,32.6,23.8,81,10.5
2020-01-23,10.9,19.0,1,27.3,31.4,25.2,85,7.1
2020-01-24,9.6,22.0,1,27.5,31.1,25.0,85,9.4
2020-01-25,6.9,19.0,1,27.2,31.5,24.3,85,8.8
2020-01-26,4.5,14.0,1,27.5,32.1,24.5,82,10.7
2020-01-27,12.1,8.0,1,27.3,30.1,24.3,85,11.4
2020-01-28,1.2,8.0,1,28.3,32.1,25.2,81,10.7
2020-01-29,3.1,5.0,1,28.3,32.8,25.1,79,13.9
2020-01-30,13.1,11.0,1,27.1,31.5,25.5,85,20.3
2020-01-31,19.9,12.0,1,26.7,30.3,25.2,86,14.8
2020-02-01,30.0,13.0,1,26.7,30.4,24.4,86,11.2
2020-02-02,10.6,14.0,1,26.5,29.8,24.1,87,11.6
2020-02-03,34.7,16.0,1,26.3,29.3,24.5,89,11.9
2020-02-04,1.6,9.0,1,27.2,31.2,23.8,83,7.9
2020-02-05,0.2,2.0,1,27.7,32.0,23.4,81,11.0
2020-02-06,8.8,10.0,1,27.1,30.3,24.6,84,15.3
2020-02-07,19.7,15.0,1,26.7,30.7,25.0,87,19.1
2020-02-08,4.5,16.0,1,26.5,28.6,24.6,88,16.3
2020-02-09,2.9,3.0,1,27.4,30.7,24.8,77,15.3
2020-02-10,18.3,11.0,1,26.8,31.6,24.3,85,14.0
2020-02-11,4.1,16.0,1,26.4,29.8,24.5,89,8.7
2020-02-12,12.7,16.0,1,27.1,30.3,25.0,87,8.7
2020-02-13,3.6,14.0,1,27.8,31.0,25.5,84,11.6
2020-02-14,2.8,12.0,1,27.4,30.2,24.9,86,6.5
2020-02-15,25.2,19.0,1,26.6,30.1,24.7,88,11.4
2020-02-16,45.9,14.0,1,26.5,30.8,24.3,89,9.4
2020-02-17,6.2,13.0,1,26.4,29.3,23.7,87,13.7
2020-02-18,4.6,14.0,1,26.0,29.5,24.4,89,13.7
2020-02-19,17.0,20.0,1,25.8,28.6,24.4,90,17.1
2020-02-20,6.1,18.0,1,25.9,28.2,24.3,89,17.6
2020-02-21,11.7,11.0,1,26.8,31.5,24.6,86,16.3
2020-02-22,12.1,15.0,1,26.5,31.4,23.4,89,12.9
2020-02-23,9.7,14.0,1,26.6,29.9,24.4,88,15.7
2020-02-24,8.1,22.0,1,26.6,29.6,24.7,89,14.3
2020-02-25,19.6,17.0,1,26.5,29.9,24.8,88,14.8
2020-02-26,8.7,13.0,1,26.5,29.8,24.1,88,10.8
2020-02-27,10.2,18.0,1,26.9,29.7,25.4,89,12.2
2020-02-28,14.8,12.0,1,27.0,30.7,25.1,88,15.0
2020-02-29,12.2,12.0,1,26.7,29.7,25.1,89,17.4
2020-03-01,29.4,17.0,1,26.3,29.4,25.0,91,14.5
2020-03-02,2.2,8.0,1,27.2,30.4,24.8,85,14.9
2020-03-03,14.6,12.0,1,26.8,30.6,24.9,89,11.2
2020-03-04,19.4,15.0,1,26.9,30.8,25.0,89,7.7
2020-03-05,10.0,13.0,1,26.4,28.9,25.1,90,13.7
2020-03-06,21.7,10.0,1,26.7,31.0,24.2,86,14.3
2020-03-07,19.3,19.0,1,26.3,29.9,24.5,90,13.0
2020-03-08,8.9,14.0,1,26.9,30.0,25.1,87,15.0
2020-03-09,9.9,12.0,1,27.1,30.9,24.7,84,15.6
2020-03-10,6.7,4.0,1,26.8,30.5,24.2,84,11.9
2020-03-11,3.3,8.0,1,27.5,31.0,24.6,85,14.4
2020-03-12,1.8,7.0,1,27.7,31.8,24.6,84,13.3
2020-03-13,8.1,7.0,1,27.3,31.3,24.7,86,9.4
