Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
,2026,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,-0.01,-0.48,-0.56,1.05,0.61,0.74,0.5,-,-,-,-,-,-
KOTA MEULABOH,-0.45,0.48,0.1,-0.02,0.64,-0.03,0.02,-,-,-,-,-,-
KAB ACEH TAMIANG,0.26,-1.64,0.46,-0.19,0.42,0.79,0.71,-,-,-,-,-,-
KOTA BANDA ACEH,-0.81,0.42,0.12,0.13,0.93,0.56,-0.03,-,-,-,-,-,-
KOTA LHOKSEUMAWE,0.86,-0.05,0.11,0.07,0.03,0.28,0.08,-,-,-,-,-,-
KAB LABUHANBATU,-0.83,0.79,-0.57,0.72,0.95,0.5,0.15,-,-,-,-,-,-
KAB KARO,0.03,-0.02,-0.38,0.54,1.27,0.03,0.29,-,-,-,-,-,-
KAB DELI SERDANG,-1.3,-0.08,-0.26,0.35,1.52,0.31,0.4,-,-,-,-,-,-
KOTA SIBOLGA,-0.26,0.66,-0.2,-0.17,0.87,0.18,0.08,-,-,-,-,-,-
KOTA PEMATANG SIANTAR,-0.11,0.57,-0.02,0.19,1.29,-0.07,0.31,-,-,-,-,-,-
KOTA MEDAN,-0.62,0.33,-0.01,0.51,0.52,0.18,0.05,-,-,-,-,-,-
KOTA PADANGSIDIMPUAN,-0.32,-0.01,-0.01,-0.19,1.17,0.42,0.19,-,-,-,-,-,-
KOTA GUNUNGSITOLI,-2.37,-0.87,-0.43,-0.32,0.5,0.53,0.58,-,-,-,-,-,-
KAB DHARMASRAYA,-0.92,0.85,0.44,0.67,0.91,0.61,0.02,-,-,-,-,-,-
KAB PASAMAN BARAT,-1.84,-0.13,-0.05,-0.02,1.03,1.01,-0.04,-,-,-,-,-,-
KOTA PADANG,-1.02,0.32,-0.02,0.51,0.92,0.36,0.09,-,-,-,-,-,-
KOTA BUKITTINGGI,-0.73,0.5,0.16,0.17,0.44,0.35,0.28,-,-,-,-,-,-
