tanggal,komoditas,titik_pantau,kabupaten,satuan,harga_kemarin,harga,imputed
2020-01-01,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10200.0,10000.0,False
2020-01-02,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10000.0,10000.0,False
2020-01-03,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10000.0,10000.0,False
2020-01-04,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10000.0,10000.0,False
2020-01-05,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10000.0,10200.0,False
2020-01-06,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10200.0,10200.0,False
2020-01-07,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10200.0,10000.0,False
2020-01-08,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10000.0,10000.0,False
2020-01-09,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10000.0,10500.0,False
2020-01-10,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10500.0,10500.0,False
2020-01-11,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10500.0,10600.0,False
2020-01-12,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10600.0,10200.0,False
2020-01-13,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10200.0,10500.0,False
2020-01-14,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10500.0,10500.0,False
2020-01-15,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10500.0,10600.0,False
2020-01-16,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10600.0,10500.0,False
2020-01-17,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10500.0,10500.0,False
2020-01-18,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10500.0,10200.0,False
2020-01-19,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10200.0,10500.0,False
2020-01-20,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10500.0,10500.0,False
2020-01-21,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10500.0,10200.0,False
2020-01-22,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10200.0,10500.0,False
2020-01-23,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10500.0,10500.0,False
2020-01-24,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10500.0,10800.0,False
2020-01-25,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10800.0,11000.0,False
2020-01-26,Beras,PS Bendul Mrisi,Kota Surabaya,kg,11000.0,11000.0,False
2020-01-27,Beras,PS Bendul Mrisi,Kota Surabaya,kg,11000.0,10800.0,False
2020-01-28,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10800.0,10800.0,False
2020-01-29,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10800.0,10500.0,False
2020-01-30,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10500.0,10800.0,False
2020-01-31,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10800.0,10500.0,False
2020-02-01,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10500.0,10900.0,False
2020-02-02,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10900.0,10900.0,False
2020-02-03,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10900.0,11000.0,False
2020-02-04,Beras,PS Bendul Mrisi,Kota Surabaya,kg,11000.0,10800.0,False
2020-02-05,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10800.0,10800.0,False
2020-02-06,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10800.0,10900.0,False
2020-02-07,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10900.0,10900.0,False
2020-02-08,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10900.0,10800.0,False
2020-02-09,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10800.0,11000.0,False
2020-02-10,Beras,PS Bendul Mrisi,Kota Surabaya,kg,11000.0,11000.0,False
2020-02-11,Beras,PS Bendul Mrisi,Kota Surabaya,kg,11000.0,10900.0,False
2020-02-12,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10900.0,11000.0,False
2020-02-13,Beras,PS Bendul Mrisi,Kota Surabaya,kg,11000.0,10900.0,False
2020-02-14,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10900.0,10800.0,False
2020-02-15,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10800.0,10800.0,False
2020-02-16,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10800.0,10700.0,False
2020-02-17,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10700.0,10700.0,False
2020-02-18,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10700.0,10800.0,False
2020-02-19,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10800.0,10800.0,False
2020-02-20,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10800.0,10800.0,False
2020-02-21,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10800.0,10800.0,False
2020-02-22,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10800.0,10800.0,False
2020-02-23,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10800.0,10900.0,False
2020-02-24,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10900.0,10800.0,False
2020-02-25,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10800.0,10800.0,False
2020-02-26,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10800.0,10800.0,False
2020-02-27,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10800.0,10800.0,False
2020-02-28,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10800.0,10800.0,False
2020-02-29,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10800.0,10800.0,False
2020-03-01,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10800.0,10700.0,False
2020-03-02,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10700.0,10800.0,False
2020-03-03,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10800.0,10900.0,False
2020-03-04,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10900.0,10800.0,False
2020-03-05,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10800.0,10800.0,False
2020-03-06,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10800.0,10800.0,False
2020-03-07,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10800.0,10800.0,False
2020-03-08,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10800.0,10800.0,False
2020-03-09,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10800.0,10800.0,False
2020-03-10,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10800.0,10700.0,False
2020-03-11,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10700.0,10800.0,False
2020-03-12,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10800.0,10800.0,False
2020-03-13,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10800.0,10700.0,False
2020-03-14,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10700.0,10800.0,False
2020-03-15,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10800.0,10800.0,False
2020-03-16,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10800.0,10800.0,False
2020-03-17,Beras,PS Bendul Mrisi,Kota Surabaya,kg,10800.0,10700.0,False
