komoditas_id,komoditas,grup,satuan
2,Beras Premium,BERAS,kg
4,Beras Medium,BERAS,kg
7,Gula Kristal Putih,GULA,kg
10,Minyak Goreng Curah,MINYAK GORENG,kg
12,Daging Sapi Paha Belakang,DAGING,kg
13,Daging Ayam Ras,DAGING,kg
14,Daging Ayam Kampung,DAGING,ekor
16,Telur Ayam Ras,TELUR AYAM,kg
17,Telur Ayam Kampung,TELUR AYAM,kg
20,Susu Kental Manis Merk Bendera,SUSU,370 gr/kl
21,Susu Kental Manis Merk Indomilk,SUSU,370 gr/kl
25,Jagung Pipilan Kering,Jagung Pipilan Kering,kg
28,Garam Beryodium Halus,GARAM BERYODIUM,kg
30,Terigu Protein Sedang (Kemasan),TEPUNG TERIGU,kg
32,Kedelai Impor,KACANG KEDELAI,kg
35,Indomie Rasa Kari Ayam,MIE INSTANT,Bungkus
37,Cabe Merah Keriting,CABE,kg
38,Cabe Merah Besar,CABE,kg
39,Bawang Merah,BAWANG,kg
40,Ikan Asin Teri,Ikan Asin Teri,kg
41,KACANG HIJAU,KACANG HIJAU,kg
42,KACANG TANAH,KACANG TANAH,kg
43,KETELA POHON,KETELA POHON,kg
44,KOL/KUBIS,SAYUR MAYUR,kg
45,KENTANG,SAYUR MAYUR,kg
46,Tomat Merah,SAYUR MAYUR,kg
47,WORTEL,SAYUR MAYUR,kg
48,BUNCIS,SAYUR MAYUR,kg
49,Bawang Putih Sinco/Honan,BAWANG,kg
50,Cabe Rawit Merah,CABE,kg
58,Ikan Bandeng,IKAN SEGAR,kg
59,Ikan Kembung,IKAN SEGAR,kg
60,Ikan Tongkol,IKAN SEGAR,kg
61,Ikan Tuna,IKAN SEGAR,kg
62,Ikan Cakalang,IKAN SEGAR,kg
92,Minyak Goreng Kemasan Premium,MINYAK GORENG,1 liter
96,Minyak Goreng MINYAKITA,MINYAK GORENG,1 Liter
