titik_pantau,tanggal,komoditas,kabupaten,satuan,harga_asli,is_imputed,harga_imputasi,tahun,bulan,hari_nama,is_weekend,is_libur_nasional,nama_libur,is_ramadan,is_pra_ramadan
PS Bendul Mrisi,2020-01-01,Beras,Kota Surabaya,kg,10000,False,10000,2020,1,Rabu,0,1,Tahun Baru Masehi,0,0
PS Bendul Mrisi,2020-01-02,Beras,Kota Surabaya,kg,10000,False,10000,2020,1,Kamis,0,0,,0,0
PS Bendul Mrisi,2020-01-03,Beras,Kota Surabaya,kg,10000,False,10000,2020,1,Jumat,0,0,,0,0
PS Bendul Mrisi,2020-01-04,Beras,Kota Surabaya,kg,10000,False,10000,2020,1,Sabtu,1,0,,0,0
PS Bendul Mrisi,2020-01-05,Beras,Kota Surabaya,kg,10200,False,10200,2020,1,Minggu,1,0,,0,0
PS Bendul Mrisi,2020-01-06,Beras,Kota Surabaya,kg,10200,False,10200,2020,1,Senin,0,0,,0,0
PS Bendul Mrisi,2020-01-07,Beras,Kota Surabaya,kg,10000,False,10000,2020,1,Selasa,0,0,,0,0
PS Bendul Mrisi,2020-01-08,Beras,Kota Surabaya,kg,10000,False,10000,2020,1,Rabu,0,0,,0,0
PS Bendul Mrisi,2020-01-09,Beras,Kota Surabaya,kg,10500,False,10500,2020,1,Kamis,0,0,,0,0
PS Bendul Mrisi,2020-01-10,Beras,Kota Surabaya,kg,10500,False,10500,2020,1,Jumat,0,0,,0,0
PS Bendul Mrisi,2020-01-11,Beras,Kota Surabaya,kg,10600,False,10600,2020,1,Sabtu,1,0,,0,0
PS Bendul Mrisi,2020-01-12,Beras,Kota Surabaya,kg,10200,False,10200,2020,1,Minggu,1,0,,0,0
PS Bendul Mrisi,2020-01-13,Beras,Kota Surabaya,kg,10500,False,10500,2020,1,Senin,0,0,,0,0
PS Bendul Mrisi,2020-01-14,Beras,Kota Surabaya,kg,10500,False,10500,2020,1,Selasa,0,0,,0,0
PS Bendul Mrisi,2020-01-15,Beras,Kota Surabaya,kg,10600,False,10600,2020,1,Rabu,0,0,,0,0
PS Bendul Mrisi,2020-01-16,Beras,Kota Surabaya,kg,10500,False,10500,2020,1,Kamis,0,0,,0,0
PS Bendul Mrisi,2020-01-17,Beras,Kota Surabaya,kg,10500,False,10500,2020,1,Jumat,0,0,,0,0
PS Bendul Mrisi,2020-01-18,Beras,Kota Surabaya,kg,10200,False,10200,2020,1,Sabtu,1,0,,0,0
PS Bendul Mrisi,2020-01-19,Beras,Kota Surabaya,kg,10500,False,10500,2020,1,Minggu,1,0,,0,0
PS Bendul Mrisi,2020-01-20,Beras,Kota Surabaya,kg,10500,False,10500,2020,1,Senin,0,0,,0,0
PS Bendul Mrisi,2020-01-21,Beras,Kota Surabaya,kg,10200,False,10200,2020,1,Selasa,0,0,,0,0
PS Bendul Mrisi,2020-01-22,Beras,Kota Surabaya,kg,10500,False,10500,2020,1,Rabu,0,0,,0,0
PS Bendul Mrisi,2020-01-23,Beras,Kota Surabaya,kg,10500,False,10500,2020,1,Kamis,0,0,,0,0
PS Bendul Mrisi,2020-01-24,Beras,Kota Surabaya,kg,10800,False,10800,2020,1,Jumat,0,0,,0,0
PS Bendul Mrisi,2020-01-25,Beras,Kota Surabaya,kg,11000,False,11000,2020,1,Sabtu,1,1,Tahun Baru Imlek,0,0
PS Bendul Mrisi,2020-01-26,Beras,Kota Surabaya,kg,11000,False,11000,2020,1,Minggu,1,0,,0,0
PS Bendul Mrisi,2020-01-27,Beras,Kota Surabaya,kg,10800,False,10800,2020,1,Senin,0,0,,0,0
PS Bendul Mrisi,2020-01-28,Beras,Kota Surabaya,kg,10800,False,10800,2020,1,Selasa,0,0,,0,0
PS Bendul Mrisi,2020-01-29,Beras,Kota Surabaya,kg,10500,False,10500,2020,1,Rabu,0,0,,0,0
PS Bendul Mrisi,2020-01-30,Beras,Kota Surabaya,kg,10800,False,10800,2020,1,Kamis,0,0,,0,0
PS Bendul Mrisi,2020-01-31,Beras,Kota Surabaya,kg,10500,False,10500,2020,1,Jumat,0,0,,0,0
PS Bendul Mrisi,2020-02-01,Beras,Kota Surabaya,kg,10900,False,10900,2020,2,Sabtu,1,0,,0,0
PS Bendul Mrisi,2020-02-02,Beras,Kota Surabaya,kg,10900,False,10900,2020,2,Minggu,1,0,,0,0
PS Bendul Mrisi,2020-02-03,Beras,Kota Surabaya,kg,11000,False,11000,2020,2,Senin,0,0,,0,0
PS Bendul Mrisi,2020-02-04,Beras,Kota Surabaya,kg,10800,False,10800,2020,2,Selasa,0,0,,0,0
PS Bendul Mrisi,2020-02-05,Beras,Kota Surabaya,kg,10800,False,10800,2020,2,Rabu,0,0,,0,0
PS Bendul Mrisi,2020-02-06,Beras,Kota Surabaya,kg,10900,False,10900,2020,2,Kamis,0,0,,0,0
PS Bendul Mrisi,2020-02-07,Beras,Kota Surabaya,kg,10900,False,10900,2020,2,Jumat,0,0,,0,0
PS Bendul Mrisi,2020-02-08,Beras,Kota Surabaya,kg,10800,False,10800,2020,2,Sabtu,1,0,,0,0
PS Bendul Mrisi,2020-02-09,Beras,Kota Surabaya,kg,11000,False,11000,2020,2,Minggu,1,0,,0,0
PS Bendul Mrisi,2020-02-10,Beras,Kota Surabaya,kg,11000,False,11000,2020,2,Senin,0,0,,0,0
PS Bendul Mrisi,2020-02-11,Beras,Kota Surabaya,kg,10900,False,10900,2020,2,Selasa,0,0,,0,0
PS Bendul Mrisi,2020-02-12,Beras,Kota Surabaya,kg,11000,False,11000,2020,2,Rabu,0,0,,0,0
PS Bendul Mrisi,2020-02-13,Beras,Kota Surabaya,kg,10900,False,10900,2020,2,Kamis,0,0,,0,0
PS Bendul Mrisi,2020-02-14,Beras,Kota Surabaya,kg,10800,False,10800,2020,2,Jumat,0,0,,0,0
PS Bendul Mrisi,2020-02-15,Beras,Kota Surabaya,kg,10800,False,10800,2020,2,Sabtu,1,0,,0,0
PS Bendul Mrisi,2020-02-16,Beras,Kota Surabaya,kg,10700,False,10700,2020,2,Minggu,1,0,,0,0
PS Bendul Mrisi,2020-02-17,Beras,Kota Surabaya,kg,10700,False,10700,2020,2,Senin,0,0,,0,0
PS Bendul Mrisi,2020-02-18,Beras,Kota Surabaya,kg,10800,False,10800,2020,2,Selasa,0,0,,0,0
PS Bendul Mrisi,2020-02-19,Beras,Kota Surabaya,kg,10800,False,10800,2020,2,Rabu,0,0,,0,0
PS Bendul Mrisi,2020-02-20,Beras,Kota Surabaya,kg,10800,False,10800,2020,2,Kamis,0,0,,0,0
PS Bendul Mrisi,2020-02-21,Beras,Kota Surabaya,kg,10800,False,10800,2020,2,Jumat,0,0,,0,0
PS Bendul Mrisi,2020-02-22,Beras,Kota Surabaya,kg,10800,False,10800,2020,2,Sabtu,1,0,,0,0
PS Bendul Mrisi,2020-02-23,Beras,Kota Surabaya,kg,10900,False,10900,2020,2,Minggu,1,0,,0,0
PS Bendul Mrisi,2020-02-24,Beras,Kota Surabaya,kg,10800,False,10800,2020,2,Senin,0,0,,0,0
PS Bendul Mrisi,2020-02-25,Beras,Kota Surabaya,kg,10800,False,10800,2020,2,Selasa,0,0,,0,0
PS Bendul Mrisi,2020-02-26,Beras,Kota Surabaya,kg,10800,False,10800,2020,2,Rabu,0,0,,0,0
PS Bendul Mrisi,2020-02-27,Beras,Kota Surabaya,kg,10800,False,10800,2020,2,Kamis,0,0,,0,0
PS Bendul Mrisi,2020-02-28,Beras,Kota Surabaya,kg,10800,False,10800,2020,2,Jumat,0,0,,0,0
PS Bendul Mrisi,2020-02-29,Beras,Kota Surabaya,kg,10800,False,10800,2020,2,Sabtu,1,0,,0,0
PS Bendul Mrisi,2020-03-01,Beras,Kota Surabaya,kg,10700,False,10700,2020,3,Minggu,1,0,,0,0
PS Bendul Mrisi,2020-03-02,Beras,Kota Surabaya,kg,10800,False,10800,2020,3,Senin,0,0,,0,0
PS Bendul Mrisi,2020-03-03,Beras,Kota Surabaya,kg,10900,False,10900,2020,3,Selasa,0,0,,0,0
PS Bendul Mrisi,2020-03-04,Beras,Kota Surabaya,kg,10800,False,10800,2020,3,Rabu,0,0,,0,0
PS Bendul Mrisi,2020-03-05,Beras,Kota Surabaya,kg,10800,False,10800,2020,3,Kamis,0,0,,0,0
PS Bendul Mrisi,2020-03-06,Beras,Kota Surabaya,kg,10800,False,10800,2020,3,Jumat,0,0,,0,0
PS Bendul Mrisi,2020-03-07,Beras,Kota Surabaya,kg,10800,False,10800,2020,3,Sabtu,1,0,,0,0
PS Bendul Mrisi,2020-03-08,Beras,Kota Surabaya,kg,10800,False,10800,2020,3,Minggu,1,0,,0,0
PS Bendul Mrisi,2020-03-09,Beras,Kota Surabaya,kg,10800,False,10800,2020,3,Senin,0,0,,0,0
PS Bendul Mrisi,2020-03-10,Beras,Kota Surabaya,kg,10700,False,10700,2020,3,Selasa,0,0,,0,0
PS Bendul Mrisi,2020-03-11,Beras,Kota Surabaya,kg,10800,False,10800,2020,3,Rabu,0,0,,0,0
PS Bendul Mrisi,2020-03-12,Beras,Kota Surabaya,kg,10800,False,10800,2020,3,Kamis,0,0,,0,0
PS Bendul Mrisi,2020-03-13,Beras,Kota Surabaya,kg,10700,False,10700,2020,3,Jumat,0,0,,0,0
PS Bendul Mrisi,2020-03-14,Beras,Kota Surabaya,kg,10800,False,10800,2020,3,Sabtu,1,0,,0,0
PS Bendul Mrisi,2020-03-15,Beras,Kota Surabaya,kg,10800,False,10800,2020,3,Minggu,1,0,,0,0
PS Bendul Mrisi,2020-03-16,Beras,Kota Surabaya,kg,10800,False,10800,2020,3,Senin,0,0,,0,0
PS Bendul Mrisi,2020-03-17,Beras,Kota Surabaya,kg,10700,False,10700,2020,3,Selasa,0,0,,0,0
PS Bendul Mrisi,2020-03-18,Beras,Kota Surabaya,kg,10800,False,10800,2020,3,Rabu,0,0,,0,0
PS Bendul Mrisi,2020-03-19,Beras,Kota Surabaya,kg,10800,False,10800,2020,3,Kamis,0,0,,0,0
PS Bendul Mrisi,2020-03-20,Beras,Kota Surabaya,kg,10800,False,10800,2020,3,Jumat,0,0,,0,0
PS Bendul Mrisi,2020-03-21,Beras,Kota Surabaya,kg,10800,False,10800,2020,3,Sabtu,1,0,,0,0
PS Bendul Mrisi,2020-03-22,Beras,Kota Surabaya,kg,10800,False,10800,2020,3,Minggu,1,1,Isra Mikraj Nabi Muhammad,0,0
PS Bendul Mrisi,2020-03-23,Beras,Kota Surabaya,kg,10700,False,10700,2020,3,Senin,0,0,,0,0
PS Bendul Mrisi,2020-03-24,Beras,Kota Surabaya,kg,10800,False,10800,2020,3,Selasa,0,0,,0,0
PS Bendul Mrisi,2020-03-25,Beras,Kota Surabaya,kg,10800,False,10800,2020,3,Rabu,0,1,Hari Suci Nyepi,0,0
PS Bendul Mrisi,2020-03-26,Beras,Kota Surabaya,kg,10800,False,10800,2020,3,Kamis,0,0,,0,0
PS Bendul Mrisi,2020-03-27,Beras,Kota Surabaya,kg,10700,False,10700,2020,3,Jumat,0,0,,0,0
PS Bendul Mrisi,2020-03-28,Beras,Kota Surabaya,kg,10800,False,10800,2020,3,Sabtu,1,0,,0,0
PS Bendul Mrisi,2020-03-29,Beras,Kota Surabaya,kg,10700,False,10700,2020,3,Minggu,1,0,,0,0
PS Bendul Mrisi,2020-03-30,Beras,Kota Surabaya,kg,10600,False,10600,2020,3,Senin,0,0,,0,0
PS Bendul Mrisi,2020-03-31,Beras,Kota Surabaya,kg,10500,False,10500,2020,3,Selasa,0,0,,0,0
PS Bendul Mrisi,2020-04-01,Beras,Kota Surabaya,kg,10500,False,10500,2020,4,Rabu,0,0,,0,0
PS Bendul Mrisi,2020-04-02,Beras,Kota Surabaya,kg,10500,False,10500,2020,4,Kamis,0,0,,0,0
PS Bendul Mrisi,2020-04-03,Beras,Kota Surabaya,kg,,True,10500,2020,4,Jumat,0,0,,0,0
PS Bendul Mrisi,2020-04-04,Beras,Kota Surabaya,kg,,True,10500,2020,4,Sabtu,1,0,,0,0
PS Bendul Mrisi,2020-04-05,Beras,Kota Surabaya,kg,,True,10500,2020,4,Minggu,1,0,,0,0
PS Bendul Mrisi,2020-04-06,Beras,Kota Surabaya,kg,,True,10500,2020,4,Senin,0,0,,0,0
PS Bendul Mrisi,2020-04-07,Beras,Kota Surabaya,kg,,True,10500,2020,4,Selasa,0,0,,0,0
PS Bendul Mrisi,2020-04-08,Beras,Kota Surabaya,kg,10900,False,10900,2020,4,Rabu,0,0,,0,0
PS Bendul Mrisi,2020-04-09,Beras,Kota Surabaya,kg,10900,False,10900,2020,4,Kamis,0,0,,0,0
PS Bendul Mrisi,2020-04-10,Beras,Kota Surabaya,kg,10900,False,10900,2020,4,Jumat,0,1,Wafat Yesus Kristus,0,1
PS Bendul Mrisi,2020-04-11,Beras,Kota Surabaya,kg,10900,False,10900,2020,4,Sabtu,1,0,,0,1
PS Bendul Mrisi,2020-04-12,Beras,Kota Surabaya,kg,11000,False,11000,2020,4,Minggu,1,0,,0,1
PS Bendul Mrisi,2020-04-13,Beras,Kota Surabaya,kg,11000,False,11000,2020,4,Senin,0,0,,0,1
PS Bendul Mrisi,2020-04-14,Beras,Kota Surabaya,kg,11000,False,11000,2020,4,Selasa,0,0,,0,1
PS Bendul Mrisi,2020-04-15,Beras,Kota Surabaya,kg,11000,False,11000,2020,4,Rabu,0,0,,0,1
PS Bendul Mrisi,2020-04-16,Beras,Kota Surabaya,kg,10300,False,10300,2020,4,Kamis,0,0,,0,1
PS Bendul Mrisi,2020-04-17,Beras,Kota Surabaya,kg,10400,False,10400,2020,4,Jumat,0,0,,0,1
PS Bendul Mrisi,2020-04-18,Beras,Kota Surabaya,kg,10400,False,10400,2020,4,Sabtu,1,0,,0,1
