tanggal,komoditas_id,komoditas,grup,satuan,harga_kemarin,harga,hari_nama,is_weekend,is_libur_nasional,nama_libur,is_ramadan,is_pra_ramadan
2020-01-06,2,Beras Premium,BERAS,kg,12500,12500,Senin,0,0,,0,0
2020-01-06,4,Beras Medium,BERAS,kg,9000,9000,Senin,0,0,,0,0
2020-01-06,7,Gula Kristal Putih,GULA,kg,13000,13000,Senin,0,0,,0,0
2020-01-06,10,Minyak Goreng Curah,MINYAK GORENG,kg,12500,12500,Senin,0,0,,0,0
2020-01-06,92,Minyak Goreng Kemasan Premium,MINYAK GORENG,1 liter,12000,12000,Senin,0,0,,0,0
2020-01-06,95,Minyak Goreng Kemasan Sederhana,MINYAK GORENG,1 Liter,0,0,Senin,0,0,,0,0
2020-01-06,96,Minyak Goreng MINYAKITA,MINYAK GORENG,1 Liter,0,0,Senin,0,0,,0,0
2020-01-06,12,Daging Sapi Paha Belakang,DAGING,kg,110000,110000,Senin,0,0,,0,0
2020-01-06,13,Daging Ayam Ras,DAGING,kg,30000,30000,Senin,0,0,,0,0
2020-01-06,14,Daging Ayam Kampung,DAGING,ekor,70000,70000,Senin,0,0,,0,0
2020-01-06,16,Telur Ayam Ras,TELUR AYAM,kg,23000,23000,Senin,0,0,,0,0
2020-01-06,17,Telur Ayam Kampung,TELUR AYAM,kg,40000,40000,Senin,0,0,,0,0
2020-01-06,20,Susu Kental Manis Merk Bendera,SUSU,370 gr/kl,10000,10000,Senin,0,0,,0,0
2020-01-06,21,Susu Kental Manis Merk Indomilk,SUSU,370 gr/kl,10000,10000,Senin,0,0,,0,0
2020-01-06,23,Susu Bubuk Merk Bendera (Instant),SUSU,400 gr/dos,37900,37900,Senin,0,0,,0,0
2020-01-06,24,Susu Bubuk Merk Indomilk (Instant),SUSU,400 gr/dos,39000,39000,Senin,0,0,,0,0
2020-01-06,25,Jagung Pipilan Kering,Jagung Pipilan Kering,kg,9750,9750,Senin,0,0,,0,0
2020-01-06,27,Bata,GARAM BERYODIUM,Buah,2000,2000,Senin,0,0,,0,0
2020-01-06,28,Halus,GARAM BERYODIUM,kg,8000,8000,Senin,0,0,,0,0
2020-01-06,30,Terigu Protein Sedang (Kemasan),TEPUNG TERIGU,kg,8500,8500,Senin,0,0,,0,0
2020-01-06,32,Kedelai Impor,KACANG KEDELAI,kg,9000,9000,Senin,0,0,,0,0
2020-01-06,33,Kedelai Lokal,KACANG KEDELAI,kg,8000,8000,Senin,0,0,,0,0
